Bronze,Silver,Gold,ID,Sex,Age,Height,Weight,Year,Medal,BMI,Host,Population,GDP_Per_Capita,Event,Name,Team,Sport
0.875,0.0,0.125,110716,0,27.0,172.0,67.0,2016,0,22.647376960519203,0,36286425.0,42348.94546059788,Alpine Skiing Women's Super G,Georgia Simmerling,Canada,Alpine Skiing
0.875,0.0,0.125,110716,0,27.0,172.0,67.0,2016,0,22.647376960519203,0,36286425.0,42348.94546059788,Alpine Skiing Women's Super G,Georgia Simmerling,Canada,Alpine Skiing
0.875,0.0,0.125,110716,0,27.0,172.0,67.0,2016,0,22.647376960519203,0,36286425.0,42348.94546059788,Alpine Skiing Women's Super G,Georgia Simmerling,Canada,Alpine Skiing
0.1,0.0,0.9,96508,1,20.0,185.0,77.0,2016,0,22.4981738495252,0,24127159.0,49896.68110092457,Archery Men's Individual,Alec Potts,Australia,Archery
0.1,0.8333333333333333,0.06666666666666667,68149,1,21.0,174.0,80.0,2016,1,26.42356982428326,0,51245707.0,27608.247428711602,Archery Men's Individual,Lee Seung-Yun,South Korea,Archery
0.7,0.0,0.3,122927,1,25.0,186.0,102.0,2016,0,29.48317724592438,0,24127159.0,49896.68110092457,Archery Men's Individual,Ryan Tyack,Australia,Archery
0.2,0.0,0.8,123357,0,28.0,180.0,68.0,2016,2,20.98765432098765,0,52053704.0,1745.3669388251747,Archery Women's Individual,Lisa Unruh,Germany,Archery
0.2,0.8,0.0,19760,0,29.0,158.0,50.0,2016,1,20.0288415318058,0,51245707.0,27608.247428711602,Archery Women's Individual,Chang Hye-Jin,South Korea,Archery
0.9,0.1,0.0,67472,0,26.0,165.0,69.0,2016,0,25.34435261707989,0,1378665000.0,8117.267465431786,Archery Women's Individual,Le Chien-Ying,Chinese Taipei,Archery
0.2,0.7,0.1,19335,1,26.0,176.0,65.0,2016,1,20.983987603305785,0,323127513.0,57588.538070583025,"Athletics Men's 1,500 metres","Matthew Gerald ""Matt"" Centrowitz, Jr.",United States,Athletics
0.2,0.7,0.1,19335,1,26.0,176.0,65.0,2016,1,20.983987603305785,0,323127513.0,57588.538070583025,"Athletics Men's 1,500 metres","Matthew Gerald ""Matt"" Centrowitz, Jr.",United States,Athletics
0.2,0.7,0.1,19335,1,26.0,176.0,65.0,2016,1,20.983987603305785,0,323127513.0,57588.538070583025,"Athletics Men's 1,500 metres","Matthew Gerald ""Matt"" Centrowitz, Jr.",United States,Athletics
0.1,0.2,0.7,118509,1,25.0,168.0,47.0,2016,2,16.65249433106576,0,48461567.0,1462.503743286637,"Athletics Men's 10,000 metres",Paul Kipngetich Tanui,Kenya,Athletics
0.1,0.2,0.7,118509,1,25.0,168.0,47.0,2016,2,16.65249433106576,0,48461567.0,1462.503743286637,"Athletics Men's 10,000 metres",Paul Kipngetich Tanui,Kenya,Athletics
0.6,0.0,0.4,120780,1,24.0,181.0,59.0,2016,0,18.009218277830346,0,102403196.0,712.8779499611379,"Athletics Men's 10,000 metres",Tamirat Tola Abera,Ethiopia,Athletics
0.1,0.0,0.9,132276,1,24.0,177.0,70.0,2016,2,22.34351559258195,0,126994511.0,38972.340639146816,Athletics Men's 100 metres,Ryota Yamagata,Japan,Athletics
0.1,0.8,0.1,5561,1,26.0,183.0,77.0,2016,1,22.99262444384723,0,2881355.0,4883.860270104311,Athletics Men's 100 metres,Nickel Ashmeade,Jamaica,Athletics
1.0,0.0,0.0,46861,1,24.0,170.0,73.0,2016,0,25.25951557093426,0,36286425.0,42348.94546059788,Athletics Men's 100 metres,Akeem Haynes,Canada,Athletics
0.0,0.3,0.7,89553,1,25.0,182.0,77.0,2016,2,23.24598478444632,0,46443959.0,26616.75779655097,Athletics Men's 110 metres Hurdles,Orlando Ortega Alejo,Cuba,Athletics
0.0,0.3,0.7,89553,1,25.0,182.0,77.0,2016,2,23.24598478444632,0,46443959.0,26616.75779655097,Athletics Men's 110 metres Hurdles,Orlando Ortega Alejo,Cuba,Athletics
0.6,0.2,0.2,8417,1,29.0,181.0,80.0,2016,0,24.41927902078691,0,66896109.0,36870.21913445626,Athletics Men's 110 metres Hurdles,Dimitri David Bascou,France,Athletics
0.1,0.0,0.9,17300,1,25.0,175.0,55.0,2016,2,17.959183673469386,0,1378665000.0,8117.267465431786,Athletics Men's 20 kilometres Walk,Cai Zelin,China,Athletics
0.2,0.7,0.1,121412,1,33.0,185.0,73.0,2016,1,21.32943754565376,0,5428704.0,16529.54096679536,Athletics Men's 20 kilometres Walk,Matej Tth,Slovakia,Athletics
1.0,0.0,0.0,11673,1,24.0,187.0,72.0,2016,0,20.58966513197403,0,24127159.0,49896.68110092457,Athletics Men's 20 kilometres Walk,Dane Alex Bird-Smith,Australia,Athletics
0.6,0.0,0.4,51754,1,25.0,185.0,80.0,2016,2,23.37472607742878,0,126994511.0,38972.340639146816,Athletics Men's 200 metres,Shota Iizuka,Japan,Athletics
1.0,0.0,0.0,15460,1,24.0,198.0,79.0,2016,0,20.15100499948985,0,36286425.0,42348.94546059788,Athletics Men's 200 metres,Aaron Brown,Canada,Athletics
1.0,0.0,0.0,15460,1,24.0,198.0,79.0,2016,0,20.15100499948985,0,36286425.0,42348.94546059788,Athletics Men's 200 metres,Aaron Brown,Canada,Athletics
0.25,0.55,0.2,53305,1,27.0,188.0,65.0,2016,2,18.390674513354465,0,323127513.0,57588.538070583025,"Athletics Men's 3,000 metres Steeplechase",Evan Reese Jager,United States,Athletics
0.1,0.8,0.1,60624,1,21.0,167.0,58.0,2016,1,20.7967298935064,0,48461567.0,1462.503743286637,"Athletics Men's 3,000 metres Steeplechase",Conseslus Kipruto,Kenya,Athletics
0.25,0.55,0.2,53305,1,27.0,188.0,65.0,2016,2,18.390674513354465,0,323127513.0,57588.538070583025,"Athletics Men's 3,000 metres Steeplechase",Evan Reese Jager,United States,Athletics
0.0,0.9,0.1,80204,1,21.0,178.0,85.0,2016,1,26.82742078020452,0,2881355.0,4883.860270104311,Athletics Men's 4 x 100 metres Relay,Jevaughn Minzie,Jamaica,Athletics
0.0,0.9,0.1,80204,1,21.0,178.0,85.0,2016,1,26.82742078020452,0,2881355.0,4883.860270104311,Athletics Men's 4 x 100 metres Relay,Jevaughn Minzie,Jamaica,Athletics
