,Year,NOC,Athletes,Sports,Events,Gold,Silver,Bronze,Men,Women
0,1960,AFG,16,2,13,0,0,0,16,0
1,1960,AHO,5,1,4,0,0,0,5,0
2,1960,ARG,116,15,54,0,3,1,115,1
3,1960,AUS,277,19,125,10,21,11,219,58
4,1960,AUT,141,18,83,1,2,0,96,45
5,1960,BAH,14,2,8,0,0,0,14,0
6,1960,BEL,150,16,64,0,2,2,130,20
7,1960,BER,7,1,3,0,0,0,7,0
8,1960,BRA,22,7,15,0,0,8,21,1
9,1960,BUL,185,13,67,1,3,3,142,43
10,1960,CAN,168,17,84,1,22,0,119,49
11,1960,CHI,19,4,11,0,0,0,18,1
12,1960,COL,22,5,12,0,0,0,22,0
13,1960,CUB,20,7,14,0,0,0,9,11
14,1960,DEN,108,14,47,2,17,4,97,11
15,1960,ESP,157,15,70,0,0,14,152,5
16,1960,ETH,15,2,8,1,0,0,15,0
17,1960,FIJ,3,1,3,0,0,0,3,0
18,1960,FIN,282,20,110,6,4,9,228,54
19,1960,FRA,383,24,135,0,6,7,306,77
20,1960,GBR,385,20,135,2,11,15,287,98
21,1960,GER,480,25,173,38,36,23,362,118
22,1960,GHA,14,2,11,0,1,0,14,0
23,1960,GRE,50,5,30,3,0,0,50,0
24,1960,GUY,5,2,5,0,0,0,4,1
25,1960,HKG,4,2,3,0,0,0,4,0
26,1960,HUN,311,18,107,13,15,37,241,70
27,1960,INA,22,7,12,0,0,0,20,2
28,1960,IND,48,5,19,0,13,0,48,0
29,1960,IRI,24,5,24,0,1,3,24,0
30,1960,IRL,63,8,39,0,0,0,60,3
31,1960,IRQ,8,3,7,0,0,0,8,0
32,1960,ISL,13,3,13,0,0,0,13,0
33,1960,ISR,41,6,26,0,0,0,22,19
34,1960,ITA,400,24,153,33,15,29,321,79
35,1960,JPN,349,24,116,9,10,12,276,73
36,1960,KEN,27,4,10,0,0,0,27,0
37,1960,KOR,49,9,38,0,0,0,43,6
38,1960,LBR,3,1,3,0,0,0,3,0
39,1960,LIB,24,7,17,0,0,0,24,0
40,1960,LIE,8,3,6,0,0,0,8,0
41,1960,LUX,117,10,48,0,0,0,104,13
42,1960,MAL,11,4,11,0,0,0,11,0
43,1960,MAR,41,7,21,0,1,0,41,0
44,1960,MEX,110,14,55,0,0,1,97,13
45,1960,MLT,13,4,6,0,0,0,13,0
46,1960,MON,13,3,6,0,0,0,13,0
47,1960,MYA,9,5,9,0,0,0,9,0
48,1960,NED,165,15,58,0,2,3,94,71
49,1960,NGR,15,2,12,0,0,0,15,0
50,1960,NOR,62,15,49,3,2,0,61,1
51,1960,NZL,39,8,27,2,0,1,33,6
52,1960,PAK,53,7,35,13,0,1,53,0
53,1960,PAN,8,3,4,0,0,0,2,6
54,1960,PER,33,3,8,0,0,0,33,0
55,1960,PHI,48,7,27,0,0,0,43,5
56,1960,POL,335,21,119,4,12,16,251,84
57,1960,POR,109,11,52,0,2,0,92,17
58,1960,PUR,29,6,13,0,0,0,28,1
59,1960,RHO,12,5,11,0,0,0,11,1
60,1960,ROU,156,13,65,3,1,11,107,49
61,1960,RSA,70,12,45,0,1,2,64,6
62,1960,SGP,5,3,3,0,1,0,5,0
63,1960,SMR,13,3,5,0,0,0,13,0
64,1960,SRI,5,4,5,0,0,0,5,0
65,1960,SUD,7,3,7,0,0,0,7,0
66,1960,SUI,220,18,93,0,6,6,218,2
67,1960,SWE,270,19,111,4,3,3,204,66
68,1960,TCH,217,16,79,4,8,11,168,49
69,1960,THA,24,4,16,0,0,0,24,0
70,1960,TPE,31,6,18,0,1,0,27,4
71,1960,TUN,56,7,22,0,0,0,56,0
72,1960,TUR,39,7,33,5,2,0,35,4
73,1960,UAR,1,1,1,0,0,0,1,0
74,1960,UGA,16,2,11,0,0,0,16,0
75,1960,URS,460,25,166,67,68,60,341,119
76,1960,URU,42,8,15,0,0,0,42,0
77,1960,USA,474,23,164,97,24,22,361,113
78,1960,VEN,53,9,25,0,0,1,44,9
79,1960,VNM,5,2,5,0,0,0,5,0
80,1960,WIF,20,5,13,0,0,5,20,0
81,1960,YUG,184,14,64,16,1,0,162,22
82,1960,ZIM,10,1,6,0,0,0,0,10
83,1964,AFG,2,1,2,0,0,0,2,0
84,1964,AHO,4,2,4,0,0,0,4,0
85,1964,ALG,7,1,7,0,0,0,7,0
86,1964,ARG,147,16,78,0,1,0,136,11
87,1964,AUS,349,19,127,8,3,26,278,71
88,1964,AUT,147,24,80,3,7,1,120,27
89,1964,BAH,12,2,6,2,0,0,12,0
90,1964,BEL,76,14,38,2,0,1,71,5
91,1964,BER,4,1,2,0,0,0,4,0
92,1964,BOL,1,1,1,0,0,0,1,0
93,1964,BRA,31,8,9,0,0,12,30,1
94,1964,BUL,123,11,56,3,4,2,98,25
95,1964,CAM,8,2,7,0,0,0,8,0
96,1964,CAN,241,21,108,2,3,2,171,70
97,1964,CGO,2,1,2,0,0,0,2,0
98,1964,CHA,2,1,2,0,0,0,2,0
99,1964,CHI,27,7,16,0,0,0,27,0
100,1964,CIV,8,2,8,0,0,0,8,0
101,1964,CMR,2,1,2,0,0,0,2,0
102,1964,COL,40,6,19,0,0,0,40,0
103,1964,CRC,1,1,1,0,0,0,1,0
104,1964,CUB,76,6,24,0,1,0,73,3
105,1964,DEN,76,12,45,7,1,4,66,10
106,1964,DOM,1,1,1,0,0,0,1,0
107,1964,EGY,5,3,3,0,0,0,5,0
108,1964,ESP,76,10,38,0,0,0,71,5
109,1964,ETH,19,3,11,1,0,0,19,0
110,1964,FIN,231,20,87,6,7,7,199,32
111,1964,FRA,248,18,103,4,16,17,192,56
112,1964,GBR,352,24,142,6,19,5,265,87
113,1964,GER,621,29,193,25,48,53,465,156
114,1964,GHA,36,3,14,0,0,1,32,4
115,1964,GRE,23,5,18,0,0,0,23,0
116,1964,HKG,50,7,24,0,0,0,49,1
117,1964,HUN,354,22,126,42,7,7,264,90
118,1964,IND,51,7,29,15,0,0,50,1
119,1964,IRI,102,12,61,0,0,2,92,10
120,1964,IRL,35,7,23,0,0,1,33,2
121,1964,IRQ,18,3,14,0,0,0,18,0
122,1964,ISL,6,3,6,0,0,0,5,1
123,1964,ISR,13,3,12,0,0,0,10,3
124,1964,ITA,331,27,115,14,30,17,299,32
125,1964,JAM,31,4,16,0,0,0,22,9
126,1964,JPN,535,29,177,32,5,25,418,117
127,1964,KEN,31,5,15,0,0,0,31,0
128,1964,KOR,242,18,95,0,2,1,196,46
129,1964,LBR,2,1,2,0,0,0,2,0
130,1964,LIB,11,3,6,0,0,0,11,0
131,1964,LIE,13,3,7,0,0,0,13,0
132,1964,LUX,27,7,18,0,0,0,25,2
133,1964,MAD,4,1,4,0,0,0,4,0
